mode,window_size,num_runs,avg_legit_rate,std_legit_rate,avg_attack_rate,std_attack_rate,total_timeouts
window,5,5,0.8800,0.0812,0.0160,0.0196,0
rolling,0,5,0.8700,0.0245,0.0160,0.0150,0
