mode,window_size,num_runs,avg_legit_rate,std_legit_rate,avg_attack_rate,std_attack_rate,total_timeouts
window,5,3,0.8667,0.0577,0.0167,0.0289,10
rolling,0,3,0.8333,0.1528,0.0000,0.0000,11
